  JENDL-4.0 NFY Fm255                                                0         0
 3.108700+4 0.000000+0 3.23747-15 2.07198-15 3.108800+4 0.000000+09936 8454   91
 0.000000+0 0.000000+0 3.108900+4 0.000000+0 0.000000+0 0.000000+09936 8454   92
 3.206900+4 0.000000+0 0.000000+0 0.000000+0 3.207000+4 0.000000+09936 8454   93
 4.88169-13 3.12429-13 3.207100+4 0.000000+0 2.16302-11 9.78873-129936 8454   94
 3.207200+4 0.000000+0 5.85406-10 3.74660-10 3.207300+4 0.000000+09936 8454   95
 8.000380-9 5.120240-9 3.207300+4 1.000000+0 1.852300-9 1.185470-99936 8454   96
 3.207400+4 0.000000+0 1.131120-7 7.239190-8 3.207500+4 0.000000+09936 8454   97
 9.723130-8 6.222800-8 3.207500+4 1.000000+0 6.338310-7 4.056520-79936 8454   98
 3.207600+4 0.000000+0 3.452910-6 2.209850-6 3.207700+4 0.000000+09936 8454   99
 8.989600-6 5.753340-6 3.207700+4 1.000000+0 1.379030-6 8.825800-79936 8454  100
 3.207800+4 0.000000+0 2.166990-5 1.386870-5 3.207900+4 0.000000+09936 8454  101
 3.894260-6 2.492330-6 3.207900+4 1.000000+0 2.538590-5 1.624700-59936 8454  102
 3.208000+4 0.000000+0 2.977640-5 1.905680-5 3.208100+4 0.000000+09936 8454  103
 1.300570-5 8.323630-6 3.208100+4 1.000000+0 3.701870-6 2.961490-69936 8454  104
 3.208200+4 0.000000+0 8.542960-6 5.467490-6 3.208300+4 0.000000+09936 8454  105
 2.470620-6 1.581190-6 3.208400+4 0.000000+0 4.127610-7 2.641670-79936 8454  106
 3.208500+4 0.000000+0 5.258730-8 3.365590-8 3.208600+4 0.000000+09936 8454  107
 3.314000-9 2.120950-9 3.208700+4 0.000000+0 1.41883-10 9.08053-119936 8454  108
 3.208800+4 0.000000+0 3.55213-12 2.27336-12 3.208900+4 0.000000+09936 8454  109
 5.46819-14 3.49964-14 3.209000+4 0.000000+0 4.93716-15 3.15978-159936 8454  110
 3.209100+4 0.000000+0 0.000000+0 0.000000+0 3.307200+4 0.000000+09936 8454  111
